MMV,Make,Model,Variant,Type,Fuel Type,Age,Transmission,Color,Kms,No of Owner,Heath score,price score,on road price,Current Price,Dep
HyundaiI10Sportz 1.2,Hyundai,I10,Sportz 1.2,Hatchback,Petrol,3,Manual,White,"12,000",1,8.5,8.8,537850,338352,37.1
HyundaiI20Magna (O) 1.2,Hyundai,I20,Magna (O) 1.2,Hatchback,Petrol,9,Manual,Beige,"68,000",1,5,7.3,613863,189200,69.2
HyundaiI20Sportz 1.2,Hyundai,I20,Sportz 1.2,Hatchback,Petrol,8,Manual,White,"31,143",1,6.2,4.6,678359,347568,48.8
HyundaiNeo Fluidic Elantra1.6SxAtCrdi,Hyundai,Neo Fluidic Elantra,1.6SxAtCrdi,Sedan,Diesel,2,Automatic,Silver,"6,000",1,8.5,7.9,2228480,1629250,26.9
HyundaiSantro XingXo,Hyundai,Santro Xing,Xo,Hatchback,Petrol,11,Manual,Golden,"100,000",2,4.3,9.9,453719,86240,81.0
HyundaiGrand I10Asta 1.2 Kappa VTVT,Hyundai,Grand I10,Asta 1.2 Kappa VTVT,Hatchback,Petrol,3,Manual,Red,"45,000",1,8.1,8,752105,363735,51.6
HyundaiAccentGLS,Hyundai,Accent,GLS,Sedan,Petrol,11,Manual,Silver,"78,484",1,6.4,9.9,691111,101200,85.4
HyundaiI10Magna,Hyundai,I10,Magna,Hatchback,Petrol + CNG,10,Manual,Red,"55,000",2,5,7.5,462988,162800,64.8
HyundaiI10Era,Hyundai,I10,Era,Hatchback,Petrol,11,Manual,Grey,"68,000",2,4.5,9.9,446864,136400,69.5
HyundaiCreta1.6Sx+AtDiesel,Hyundai,Creta,1.6Sx+AtDiesel,SUV,Diesel,3,Automatic,White,"4,500",1,5,8.8,1741999,1235000,29.1
HyundaiElite I20Asta 1.4 CRDI (O),Hyundai,Elite I20,Asta 1.4 CRDI (O),Hatchback,Diesel,3,Manual,Silver,"56,066",1,4.2,7.8,972640,640228,34.2
HyundaiI10Magna 1.2,Hyundai,I10,Magna 1.2,Hatchback,Petrol,4,Manual,Silver,"42,000",1,4.8,6.1,482567,306222,36.5
HyundaiI10Era,Hyundai,I10,Era,Hatchback,Petrol,10,Manual,Blue,"51,285",2,5,8.9,446864,158400,64.6
HyundaiVernaXi,Hyundai,Verna,Xi,Sedan,Petrol,11,Manual,Silver,"107,000",1,4.3,9.9,751422,154000,79.5
HyundaiI10Sportz 1.2 AT Kappa2,Hyundai,I10,Sportz 1.2 AT Kappa2,Hatchback,Petrol,9,Automatic,Black,"38,000",1,5,5.4,610408,233518,61.7
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,8,Manual,Golden,"57,000",1,6.7,5.6,585070,287950,50.8
HyundaiVernaFluidic 1.6 VTVT SX,Hyundai,Verna,Fluidic 1.6 VTVT SX,Sedan,Petrol,4,Manual,Silver,"45,000",1,5.3,9.9,1046416,690000,34.1
HyundaiI10Magna 1.2,Hyundai,I10,Magna 1.2,Hatchback,Petrol,7,Manual,Red,"31,000",1,4.5,4.2,482567,269742,44.1
HyundaiAccentGLE,Hyundai,Accent,GLE,Sedan,Petrol,10,Manual,Silver,"55,000",1,6.8,7.6,691111,154000,77.7
HyundaiAccentGLE,Hyundai,Accent,GLE,Sedan,Petrol,10,Manual,other,"42,843",2,6.8,5.6,691111,167200,75.8
HyundaiElite I20Magna 1.2,Hyundai,Elite I20,Magna 1.2,Hatchback,Petrol,2,Manual,Silver,"7,500",1,5,7.7,712796,511438,28.2
HyundaiGrand I10Magna 1.2 Kappa VTVT,Hyundai,Grand I10,Magna 1.2 Kappa VTVT,Hatchback,Petrol,4,Manual,White,"13,000",1,4.5,4.2,633709,473553,25.3
HyundaiAccentGLE,Hyundai,Accent,GLE,Sedan,Petrol,12,Manual,Silver,"48,730",2,6.8,3.8,691111,154000,77.7
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,8,Manual,other,"65,000",1,6.4,7.6,585070,265200,54.7
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,Diesel,4,Manual,White,"29,000",1,4.3,9.9,1217935,690000,43.3
HyundaiI10Magna,Hyundai,I10,Magna,Hatchback,Petrol,8,Manual,White,"6,500",1,6.8,4.6,462988,384592,16.9
HyundaiAccentGLS,Hyundai,Accent,GLS,Sedan,Petrol,10,Manual,Silver,"35,886",2,6.8,5,691111,184800,73.3
HyundaiI10Magna 1.2,Hyundai,I10,Magna 1.2,Hatchback,Petrol,3,Manual,White,"40,000",1,9.3,7.8,482567,315382,34.6
HyundaiGrand I10Asta 1.2 Kappa VTVT (O),Hyundai,Grand I10,Asta 1.2 Kappa VTVT (O),Hatchback,Petrol,2,Manual,Red,"8,900",1,9.9,9.9,702545,520950,25.8
HyundaiI10Sportz 1.2 Kappa2,Hyundai,I10,Sportz 1.2 Kappa2,Hatchback,Petrol,8,Manual,Black,"59,000",1,5,4.8,544760,220000,59.6
HyundaiI10Sportz 1.2 Kappa2,Hyundai,I10,Sportz 1.2 Kappa2,Hatchback,Petrol,6,Manual,White,"40,000",1,5,7.5,544760,242550,55.5
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,Diesel,5,Manual,White,"47,000",2,9.9,7.8,1217935,602448,50.5
HyundaiSantro XingXo,Hyundai,Santro Xing,Xo,Hatchback,Petrol,11,Manual,White,"50,000",2,9.9,8.3,453719,110000,75.8
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,7,Manual,Grey,"26,000",2,6.8,6.8,585070,297078,49.2
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,8,Manual,White,"50,000",1,9.9,9.7,585070,242550,58.5
HyundaiGrand I101.2Sportz(o)At,Hyundai,Grand I10,1.2Sportz(o)At,Hatchback,Petrol,2,Manual,Red,"8,900",1,4.3,9.9,670356,520950,22.3
HyundaiEonMagna,Hyundai,Eon,Magna,Hatchback,Petrol,6,Manual,Blue,"29,000",1,5,6.3,388154,198000,49.0
HyundaiAccentGLE,Hyundai,Accent,GLE,Sedan,Petrol,7,Manual,Grey,"44,000",1,6.4,6.2,691111,306222,55.7
HyundaiI20Magna 1.4 CRDI,Hyundai,I20,Magna 1.4 CRDI,Hatchback,Diesel,5,Manual,Beige,"21,500",1,4.5,6.2,739676,469775,36.5
HyundaiI10Magna 1.1 iRDE2,Hyundai,I10,Magna 1.1 iRDE2,Hatchback,Petrol,6,Manual,Red,"28,000",1,4.5,4.2,541570,302562,44.1
HyundaiI10Magna 1.2,Hyundai,I10,Magna 1.2,Hatchback,Petrol,7,Manual,Grey,"38,382",1,4.5,6.1,482567,242550,49.7
HyundaiXcentBase 1.1 CRDi,Hyundai,Xcent,Base 1.1 CRDi,Sedan,Diesel,1,Manual,Silver,"24,215",1,9.8,5.2,717230,616950,14.0
HyundaiI10Magna,Hyundai,I10,Magna,Hatchback,Petrol,7,Manual,Grey,"34,000",1,4.5,6.2,462988,260662,43.7
HyundaiI20Sportz 1.2,Hyundai,I20,Sportz 1.2,Hatchback,Petrol,7,Manual,White,"36,247",1,4.5,4.2,678359,352182,48.1
HyundaiVernaFluidic 1.6 CRDi SX,Hyundai,Verna,Fluidic 1.6 CRDi SX,Sedan,Diesel,6,Manual,White,"46,169",1,4.3,4.7,1217935,592800,51.3
HyundaiI10Sportz 1.2,Hyundai,I10,Sportz 1.2,Hatchback,Petrol,7,Manual,Grey,"50,355",2,4.3,9.9,537850,211200,60.7
HyundaiI10Asta1.2,Hyundai,I10,Asta1.2,Hatchback,Petrol,10,Manual,Beige,"11,000",1,4.5,5.4,589156,215600,63.4
HyundaiI20Asta 1.2,Hyundai,I20,Asta 1.2,Hatchback,Petrol,9,Manual,Silver,"51,700",2,9.9,6.6,738248,265200,64.1
HyundaiI10Sportz 1.2 AT,Hyundai,I10,Sportz 1.2 AT,Hatchback,Petrol,5,Automatic,White,"40,000",1,5,4.5,581615,347568,40.2
HyundaiI10Sportz 1.2 AT,Hyundai,I10,Sportz 1.2 AT,Hatchback,Petrol,7,Automatic,Golden,"32,000",1,4.5,5.4,581615,297078,48.9
HyundaiI10Magna1.1,Hyundai,I10,Magna1.1,Hatchback,Petrol,6,Manual,Red,"15,000",1,9.9,4.2,530124,287950,45.7
HyundaiI20Magna (O) 1.2,Hyundai,I20,Magna (O) 1.2,Hatchback,Petrol,7,Manual,Red,"58,856",1,4.8,4.2,613863,287950,53.1
HyundaiElite I20Magna 1.2,Hyundai,Elite I20,Magna 1.2,Hatchback,Petrol,8,Manual,White,"61,000",1,4.3,8.2,712796,274288,61.5
HyundaiI10Era 1.1 iRDE2,Hyundai,I10,Era 1.1 iRDE2,Hatchback,Petrol,6,Manual,Grey,"56,000",1,5.7,6,504450,274288,45.6
HyundaiI10Magna,Hyundai,I10,Magna,Hatchback,Petrol,10,Manual,Beige,"55,000",1,6.8,5.6,462988,211200,54.4
HyundaiI20Magna 1.2,Hyundai,I20,Magna 1.2,Hatchback,Petrol,7,Manual,White,"33,000",1,6.8,7.2,585070,310800,46.9
HyundaiGetzGLE,Hyundai,Getz,GLE,Hatchback,Petrol,11,Manual,Red,"2,007",1,6.8,8.2,462186,110000,76.2
HondaCityIVtecCvtVx,Honda,City,IVtecCvtVx,Hatchback,Petrol,2,Automatic,White,"26,000",1,8.1,8.6,1514307,1013725,33.1
HondaCity1.5 S MT,Honda,City,1.5 S MT,Sedan,Petrol,7,Manual,Grey,"95,000",1,8.1,7.1,944779,432648,54.2
HondaAccord2.4 VTi-L MT,Honda,Accord,2.4 VTi-L MT,Sedan,Petrol,7,Automatic,White,"49,728",1,6.4,9.6,1883226,788800,58.1
HondaCivic1.8S MT,Honda,Civic,1.8S MT,Sedan,Petrol,6,Manual,Silver,"62,500",1,5.3,8.8,1464334,440608,69.9
HondaCivic1.8V AT,Honda,Civic,1.8V AT,Sedan,Petrol,11,Automatic,other,"57,002",1,6.8,9.9,1675849,301648,82.0
HondaCivic1.8S MT,Honda,Civic,1.8S MT,Sedan,Petrol,11,Automatic,White,"32,000",3,4.5,6.6,1464334,229910,84.3
HondaCityVX,Honda,City,VX,Sedan,Petrol,5,Manual,Silver,"25,412",1,6.4,9.9,1295820,641200,50.5
HondaCityVX,Honda,City,VX,Sedan,Petrol,9,Manual,Black,"52,000",1,6.8,6.6,1295820,440608,66.0
HondaCity1.5 S MT,Honda,City,1.5 S MT,Sedan,Petrol,6,Manual,Grey,"30,000",1,8.5,6.6,944779,515241,45.5
HondaCityS,Honda,City,S,Sedan,Petrol,9,Manual,Maroon,"82,000",1,4.3,9.9,1036953,274288,73.5
HondaCivic1.8V AT,Honda,Civic,1.8V AT,Sedan,Petrol,9,Manual,Blue,"67,000",1,6.8,9.2,1675849,310800,81.5
HondaCity1.5 V AT,Honda,City,1.5 V AT,Sedan,Petrol,6,Automatic,White,"86,000",1,3.5,9.9,1139496,535248,53.0
HondaCity1.5 V MT,Honda,City,1.5 V MT,Sedan,Petrol,9,Manual,other,"62,000",1,6.4,8,996627,356800,64.2
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,10,Manual,Silver,"65,000",1,4.5,9.9,837628,198000,76.4
HondaCitySI-vtec,Honda,City,SI-vtec,Hatchback,Petrol,6,Manual,White,"63,579",1,4.8,8.1,1004692,435918,56.6
HondaCity1.5 S MT,Honda,City,1.5 S MT,Sedan,Petrol,7,Manual,Golden,"54,000",1,4.3,9.9,944779,384592,59.3
HondaCity1.5 V AT,Honda,City,1.5 V AT,Sedan,Petrol,8,Automatic,White,"70,568",1,6.1,9.6,1139496,459408,59.7
HondaCity1.5 S MT,Honda,City,1.5 S MT,Sedan,Petrol,8,Manual,Silver,"72,075",1,4.5,6.6,944779,433106,54.2
HondaCity1.5 S MT,Honda,City,1.5 S MT,Sedan,Petrol,9,Manual,bold beige metallic,"54,699",1,6.8,3.4,944779,440608,53.4
HondaCity1.5 V AT,Honda,City,1.5 V AT,Sedan,Petrol,8,Automatic,White,"48,000",1,9.9,5.2,1139496,516192,54.7
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,12,Manual,Grey,"72,500",1,7,8.8,837628,215600,74.3
HondaAccord2.4 AT,Honda,Accord,2.4 AT,Sedan,Petrol,6,Automatic,White,"36,754",1,6.4,5.2,2426682,1053229,56.6
HondaAccord2.4EleganceMt,Honda,Accord,2.4EleganceMt,Sedan,Petrol,10,Manual,Silver,"62,000",2,4.5,7.4,2370072,426550,82.0
HondaAccord2.4 AT,Honda,Accord,2.4 AT,Sedan,Petrol,7,Automatic,White,"60,000",1,6.3,9,2426682,813750,66.5
HondaCityZx,Honda,City,Zx,Sedan,Petrol,10,Manual,other,"69,076",2,6.4,9.9,921736,242550,73.7
HondaCityIVtecCvtVx,Honda,City,IVtecCvtVx,Hatchback,Petrol,4,Automatic,White,"22,459",1,6.1,7.4,1514307,914550,39.6
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,12,Automatic,Golden,"90,000",2,6.4,9.6,837628,175120,79.1
HondaAccord2.4 AT,Honda,Accord,2.4 AT,Sedan,Petrol,10,Automatic,Golden,"79,000",2,6.4,9,2426682,554368,77.2
HondaBrioS MT,Honda,Brio,S MT,Hatchback,Petrol,5,Manual,Grey,"36,000",1,5,5.9,613352,306222,50.1
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,10,Manual,Silver,"54,000",3,4.5,9.9,837628,224502,73.2
Maruti SuzukiCiazAlpha 1.3 Hybrid,Maruti Suzuki,Ciaz,Alpha 1.3 Hybrid,Sedan,Diesel,1,Manual,Nexa Blue,"10,000",1,4.8,8.1,1399939,1063125,24.1
Maruti SuzukiWagon RVxiAmt,Maruti Suzuki,Wagon R,VxiAmt,Hatchback,Petrol,1,Automated Manual Transmission,White,"4,849",1,9.2,8.6,558445,445302,20.3
Maruti SuzukiSx4VXi,Maruti Suzuki,Sx4,VXi,Sedan,Petrol,10,Manual,Red,"82,000",2,8.3,8.8,750204,167200,77.7
Maruti SuzukiSwiftZXi 1.2 BS-IV,Maruti Suzuki,Swift,ZXi 1.2 BS-IV,Hatchback,Petrol,5,Manual,Silver,"34,101",1,9.7,4.2,623636,426550,31.6
Maruti SuzukiAltoLXI,Maruti Suzuki,Alto,LXI,Hatchback,Petrol,10,Manual,Blue,"48,000",2,8.5,5.8,336331,127600,62.1
ToyotaInnova2.5 G4 7 STR,Toyota,Innova,2.5 G4 7 STR,MUV,Diesel,6,Manual,White,"55,000",1,4.8,9.9,1115556,833782,25.3
ToyotaCorolla Altis1.8 G,Toyota,Corolla Altis,1.8 G,Sedan,Petrol,7,Manual,Silver,"88,000",1,4.6,9.4,1525510,347568,77.2
ToyotaFortuner3.0 4x2 AT,Toyota,Fortuner,3.0 4x2 AT,SUV,Diesel,5,Automatic,White,"111,000",1,4.2,9.1,3133263,1282500,59.1
ToyotaInnova2.5G,Toyota,Innova,2.5G,MUV,Diesel,7,Manual,Silver,"46,000",1,9.6,9.9,1585233,739200,53.4
Maruti SuzukiAltoLXi CNG,Maruti Suzuki,Alto,LXi CNG,Hatchback,Petrol + CNG,8,Manual,Black,"165,000",2,7.7,5.3,383922,145200,62.2
ToyotaInnova2.5 V 7 STR,Toyota,Innova,2.5 V 7 STR,MUV,Diesel,10,Manual,Golden,"130,000",1,4.6,9.5,1317441,568750,56.8
ToyotaInnova2.5 G 7 STR BS-IV,Toyota,Innova,2.5 G 7 STR BS-IV,MUV,Diesel,7,Manual,White,"91,000",1,4.6,7.9,1475247,714550,51.6
HyundaiI10Sportz 1.2 AT Kappa2,Hyundai,I10,Sportz 1.2 AT Kappa2,Hatchback,Petrol,5,Automatic,White,"53,796",1,4.8,7.5,610408,333750,45.3
HondaCityIVtecCvtVx,Honda,City,IVtecCvtVx,Hatchback,Petrol,2,Automatic,Urban Titanium,"20,000",1,8.3,7.6,1514307,1028524,32.1
Maruti SuzukiSwift DzireVDi,Maruti Suzuki,Swift Dzire,VDi,Sedan,Diesel,9,Manual,Silver,"45,000",2,8.5,6.6,870791,253863,70.8
Maruti SuzukiSwiftZXi,Maruti Suzuki,Swift,ZXi,Hatchback,Petrol,8,Manual,Silver,"55,000",1,5,8.3,598134,242550,59.4
Maruti SuzukiWagon R 1.0VXi,Maruti Suzuki,Wagon R 1.0,VXi,Hatchback,Petrol,2,Manual,Grey,"5,116",1,5,6.7,520309,375312,27.9
Maruti SuzukiVitara BrezzaZDi+,Maruti Suzuki,Vitara Brezza,ZDi+,SUV,Diesel,1,Manual,White,"20,000",1,7.7,8.1,1158098,951766,17.8
HondaAmaze1.2 VX  (O)  i-VTEC,Honda,Amaze,1.2 VX  (O)  i-VTEC,Sedan,Petrol,3,Manual,Brown,"14,000",1,8.5,6.5,853837,542219,36.5
HondaCity1.5 V AT Sunroof,Honda,City,1.5 V AT Sunroof,Sedan,Petrol,2,Automatic,Brown,"18,000",1,8.3,5.7,1245846,1052141,15.5
HondaCity1.5 V MT,Honda,City,1.5 V MT,Sedan,Petrol,7,Manual,White,"45,000",1,5,9.1,996627,366974,63.2
HondaCity1.5 S MT,Honda,City,1.5 S MT,Sedan,Petrol,9,Manual,White,"71,000",2,5,8.4,944779,301648,68.1
HondaCityIVtecCvtVx,Honda,City,IVtecCvtVx,Hatchback,Petrol,3,Automatic,White,"5,000",1,5,5.7,1514307,989100,34.7
HyundaiGrand I10Sportz (O) 1.2 Kappa VTVT,Hyundai,Grand I10,Sportz (O) 1.2 Kappa VTVT,Hatchback,Petrol,5,Manual,White,"18,449",1,5,5.4,688820,352182,48.9
HyundaiVernaFluidic 1.6 VTVT SX Opt,Hyundai,Verna,Fluidic 1.6 VTVT SX Opt,Sedan,Petrol,6,Manual,White,"62,000",1,5.9,8.2,1157910,445302,61.5
Maruti SuzukiSwiftZxi1.3,Maruti Suzuki,Swift,Zxi1.3,Hatchback,Petrol,11,Manual,Grey,"44,171",1,4.5,7.2,640982,174240,72.8
Maruti SuzukiSwiftVXi,Maruti Suzuki,Swift,VXi,Hatchback,Petrol,12,Manual,Red,"83,000",3,4.5,9.9,507718,127600,74.9
HondaCity1.5 S MT,Honda,City,1.5 S MT,Sedan,Petrol,9,Manual,Grey,"71,500",1,5,7.6,944779,306222,67.6
HondaCity1.5 V MT,Honda,City,1.5 V MT,Sedan,Petrol,9,Manual,Silver,"64,200",2,4.3,9.9,996627,311718,68.7
HondaAccord2.4 VTi-L MT,Honda,Accord,2.4 VTi-L MT,Sedan,Petrol,7,Manual,Black,"15,000",1,6.8,9.9,1883226,621792,67.0
HondaCivic1.8V,Honda,Civic,1.8V,Sedan,Petrol,12,Manual,Blue,"74,000",3,5,9.9,1464334,211200,85.6
ToyotaInnova2.5G,Toyota,Innova,2.5G,MUV,Diesel,10,Manual,Golden,"122,000",2,4.3,6.7,1585233,660672,58.3
Maruti SuzukiSx4VXI CNG BS-IV,Maruti Suzuki,Sx4,VXI CNG BS-IV,Sedan,Petrol,6,Manual,Silver,"63,000",1,3.8,5.7,864940,297078,65.7
HyundaiVernaFluidic 1.6 VTVT SX,Hyundai,Verna,Fluidic 1.6 VTVT SX,Sedan,Petrol,7,Manual,Purple,"53,571",2,4.3,8.4,1046416,403200,61.5
Maruti SuzukiBalenoDelta 1.2 AT,Maruti Suzuki,Baleno,Delta 1.2 AT,Hatchback,Petrol,2,Automatic,Blue,"11,000",1,5,6,820406,636342,22.4
Maruti SuzukiSwiftVDi BS-IV,Maruti Suzuki,Swift,VDi BS-IV,Hatchback,Diesel,7,Manual,Red,"52,000",1,5,9.4,631156,264292,58.1
Maruti SuzukiWagon R 1.0LXi CNG,Maruti Suzuki,Wagon R 1.0,LXi CNG,Hatchback,Petrol + CNG,6,Manual,Grey,"45,282",1,8.5,5.6,533447,257034,51.8
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,4,Manual,Grey,"87,000",1,4.2,6.9,806541,466564,42.2
HyundaiVernaVGT CRDi SX,Hyundai,Verna,VGT CRDi SX,Sedan,diesel,10,Manual,White,"69,000",1,6.7,9.8,932375,256128,72.5
HyundaiI20Magna(o)1.4Crdi,Hyundai,I20,Magna(o)1.4Crdi,Hatchback,Petrol,8,Manual,Brown,"65,000",1,6.4,7,650710,403200,38.0
HyundaiI10Magna 1.2 Kappa2,Hyundai,I10,Magna 1.2 Kappa2,Hatchback,Petrol,5,Manual,Grey,"33,970",1,5,5.8,510209,292512,42.7
Maruti SuzukiAlto K10VXi AMT,Maruti Suzuki,Alto K10,VXi AMT,Hatchback,Petrol,2,Automatic,Silver,"1,285",1,4.5,9.9,469606,366048,22.1
ToyotaInnova2.5G(diesel)8Seater,Toyota,Innova,2.5G(diesel)8Seater,MUV,Diesel,5,Manual,Other,"78,000",1,9.3,4.2,1615121,1235000,23.5
HondaCity1.5 S MT,Honda,City,1.5 S MT,Sedan,Petrol,9,Manual,White,"155,000",1,3.3,9.9,944779,295251,68.7
HondaCity1.5 V AT,Honda,City,1.5 V AT,Sedan,Petrol,7,Automatic,Silver,"62,480",1,4.8,8.9,1139496,426550,62.6
Maruti SuzukiSwift DzireZDi BS-IV,Maruti Suzuki,Swift Dzire,ZDi BS-IV,Sedan,diesel,8,Manual,Black,"50,000",1,6.4,9.8,882851,389238,55.9
Maruti SuzukiAlto 800LXI,Maruti Suzuki,Alto 800,LXI,Hatchback,Petrol,6,Manual,Blue,"40,000",1,6.4,6,375111,220000,41.4
ToyotaFortuner3.0 4x2 AT,Toyota,Fortuner,3.0 4x2 AT,SUV,Diesel,6,Automatic,Silver,"40,223",1,5,4,3133263,1757500,43.9
ToyotaFortuner3.0 4x2 AT,Toyota,Fortuner,3.0 4x2 AT,SUV,Diesel,4,Automatic,Grey,"49,000",1,9.5,4.9,3133263,2280000,27.2
ToyotaInnova2.5 G4 7 STR,Toyota,Innova,2.5 G4 7 STR,MUV,Diesel,5,Manual,Silver,"36,000",1,5,8.9,1115556,823758,26.2
Maruti SuzukiAltoLXI,Maruti Suzuki,Alto,LXI,Hatchback,Petrol,9,Manual,Silver,"57,000",1,6.4,4.2,336331,167200,50.3
ToyotaInnova2.5 G 8 STR BS-III,Toyota,Innova,2.5 G 8 STR BS-III,MUV,diesel,5,Manual,other,"94,000",1,5,5.8,1465683,1137600,22.4
HondaAccord2.4 AT,Honda,Accord,2.4 AT,Sedan,Petrol,9,Automatic,Silver,"100,500",1,3.8,8,2426682,473550,80.5
HondaCity1.5 V MT,Honda,City,1.5 V MT,Sedan,Petrol,8,Manual,Golden,"89,000",2,4.7,9.7,996627,278838,72.0
HondaCity1.5 S MT,Honda,City,1.5 S MT,Sedan,Petrol,5,Manual,White,"34,514",1,4.3,9.9,944779,540022,42.8
HondaCity1.5 V MT,Honda,City,1.5 V MT,Sedan,Petrol,7,Manual,Black,"69,458",1,4,9.9,996627,370678,62.8
Maruti SuzukiSx4ZXI AT BS-IV,Maruti Suzuki,Sx4,ZXI AT BS-IV,Sedan,CNG,7,Automatic,White,"33,756",1,6.8,4.6,1002965,487728,51.4
HyundaiSantroGl,Hyundai,Santro,Gl,Hatchback,Petrol,11,Manual,Silver,"65,000",2,4.5,7.9,406405,88000,78.3
Maruti SuzukiSx4VDI,Maruti Suzuki,Sx4,VDI,Sedan,Diesel,7,Manual,White,"118,000",1,4.4,9.1,970559,274288,71.7
Maruti SuzukiSx4ZXi,Maruti Suzuki,Sx4,ZXi,Sedan,Petrol,6,Manual,Black,"50,000",1,4.8,5.2,828687,449999,45.7
Maruti SuzukiRitzLdi BS-IV,Maruti Suzuki,Ritz,Ldi BS-IV,Hatchback,diesel,7,Automatic,Silver,"69,000",1,5.7,6.4,607772,265200,56.4
ToyotaEtiosG,Toyota,Etios,G,Sedan,Petrol,4,Manual,Grey,"19,546",1,4.3,7.4,700234,450000,35.7
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,diesel,9,Automatic,Silver,"39,979",1,6.8,3.4,806541,450000,44.2
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,10,Manual,other,"51,000",1,6.8,8.6,837628,297078,64.5
HondaCity ZxEXi,Honda,City Zx,EXi,Sedan,Petrol,11,Manual,Grey,"58,000",2,6.8,8,771954,242550,68.6
HondaCity ZxEXi,Honda,City Zx,EXi,Sedan,Petrol,11,Manual,Black,"74,000",1,6.4,9.9,771954,189200,75.5
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,12,Manual,other,"65,000",2,6.8,9.6,837628,185240,77.9
HondaCityV,Honda,City,V,Sedan,Petrol,7,Manual,Grey,"75,000",2,3.8,9.9,1151018,333750,71.0
HondaAmaze1.2 S i-VTEC,Honda,Amaze,1.2 S i-VTEC,Sedan,Petrol,5,Manual,White,"48,500",1,9.8,5.4,750749,389238,48.2
HondaCity1.5 S MT,Honda,City,1.5 S MT,Sedan,Petrol,8,Manual,Brown,"41,000",1,6.8,3.4,944779,520950,44.9
ToyotaInnova2.0G,Toyota,Innova,2.0G,MUV,Petrol,10,Manual,White,"113,000",2,4,7.9,1173645,450000,61.7
Maruti SuzukiSwift DzireLDi,Maruti Suzuki,Swift Dzire,LDi,Sedan,diesel,6,Automatic,Golden,"61,000",1,5.7,4.4,768774,431232,43.9
ToyotaFortuner3.0 4x2 AT,Toyota,Fortuner,3.0 4x2 AT,SUV,Diesel,3,Automatic,White,"23,163",1,4,4.4,3133263,2560250,18.3
Maruti SuzukiSwiftVXi,Maruti Suzuki,Swift,VXi,Hatchback,Petrol,4,Manual,White,"24,000",1,4.5,4.6,507718,426551,16.0
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,diesel,10,Automatic,Red,"58,519",1,6.8,6,806541,297078,63.2
Maruti SuzukiSx4VXI CNG BS-IV,Maruti Suzuki,Sx4,VXI CNG BS-IV,Sedan,cng,8,Manual,Silver,"49,472",1,6.4,3.8,864940,310800,64.1
Maruti SuzukiZenVXi,Maruti Suzuki,Zen,VXi,Hatchback,Petrol,12,Manual,Grey,"82,000",1,6.4,4.2,449307,110000,75.5
Maruti SuzukiAlto 800LXI,Maruti Suzuki,Alto 800,LXI,Hatchback,Petrol,4,Manual,Silver,"35,000",1,5.4,6.8,375111,251598,32.9
Maruti SuzukiSx4VXi,Maruti Suzuki,Sx4,VXi,Sedan,Petrol,10,Manual,Grey,"45,038",1,4.5,6.6,750204,233518,68.9
Maruti SuzukiSx4ZXi,Maruti Suzuki,Sx4,ZXi,Sedan,Petrol,10,Manual,Silver,"54,000",2,6.8,6,828687,242550,70.7
Maruti SuzukiSx4VXI BS-IV,Maruti Suzuki,Sx4,VXI BS-IV,Sedan,Petrol,8,Manual,other,"57,000",1,6.4,7.2,825224,274288,66.8
Maruti SuzukiSwift DzireLDi,Maruti Suzuki,Swift Dzire,LDi,Sedan,Diesel,2,Manual,White,"40,000",1,3.3,9.9,768774,482998,37.2
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,11,Manual,White,"10,000",1,6.8,9.6,837628,198000,76.4
HondaCity ZxGXi,Honda,City Zx,GXi,Sedan,Petrol,11,Manual,White,"49,000",1,5.5,9,837628,233518,72.1
HondaCity ZxEXi,Honda,City Zx,EXi,Sedan,Petrol,11,Manual,White,"80,000",1,4.5,7.2,771954,167200,78.3
HondaAmaze1.2 SX i-VTEC,Honda,Amaze,1.2 SX i-VTEC,Sedan,Petrol,4,Manual,White,"20,652",1,8.5,4.9,825993,421872,48.9
HondaCity ZxEXi,Honda,City Zx,EXi,Sedan,Petrol,11,Manual,gold,"65,000",1,6.8,9.6,771954,215600,72.1
